exp_id,model,parameter_name,value,assumed_or_estimated,rationale
EXP-02b,ardl,coefs.display_ltc_almon0,-1.5480098239517295,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_ltc_almon1,-5.751583496577542,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_ltc_almon2,0.5591413050056966,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag0,-3.011691618237765,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag1,-1.744135054792455,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag2,-6.709842702786759,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag3,7.3902238720524664,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag4,-11.456285606442634,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag5,-8.325229115350012,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag6,-7.441623610659341,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_ltc_almon0,-3.6619075997041386,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_ltc_almon1,-0.21888018178335855,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_ltc_almon2,0.0024939269497714633,estimated,Model fit on observed data
EXP-02b,ardl,coefs.promo,10.469956154084134,estimated,Model fit on observed data
EXP-02b,ardl,coefs.covid_index,-2.299314783903031,estimated,Model fit on observed data
EXP-02b,ardl,coefs.dgs30,0.20887533688025428,estimated,Model fit on observed data
EXP-02b,ardl,coefs.mobility_index,1.5554059115393102,estimated,Model fit on observed data
EXP-02b,ardl,coefs.competitor_ishare,0.8748206016800033,estimated,Model fit on observed data
EXP-02b,ardl,coefs.intercept,9.532733148274094,estimated,Model fit on observed data
EXP-02c,finite_dl,model,finite_dl,estimated,Model fit on observed data
EXP-02c,finite_dl,lag_shape,weibull,estimated,Model fit on observed data
EXP-02c,finite_dl,max_lag,13,estimated,Model fit on observed data
EXP-02c,finite_dl,stc_cutoff,6,estimated,Model fit on observed data
